,state,city_or_county,address,latitude,longitude
217230,Illinois,Chicago,7900 S East End Ave,41.7515,-87.5829
217232,Illinois,Chicago,100 N Hermitage Ave,41.8832,-87.6707
217233,Illinois,Chicago,10500 S Green St,41.7028,-87.644
217289,Illinois,Chicago,6700 S East End Ave,41.7733,-87.5839
217317,Illinois,Galesburg,600 W Tompkins St,40.9451,-90.38
217339,Illinois,Chicago,4400 W Madison St,,
217399,Illinois,Chicago,2000 N Pulaski Rd,41.9172,-87.7266
217405,Illinois,Aurora,Illinois Ave and View St,41.7706,-88.3256
217427,Illinois,Chicago,2000 W Cermak Rd,41.8525,-87.676
217433,Illinois,Chicago,4000 W Carroll Ave,41.8871,-87.726
217441,Illinois,Chicago,1600 N Austin Ave,41.9093,-87.7752
217463,Illinois,Rockford,500 Kennon Rd,42.2264,-89.091
217477,Illinois,New Lenox,S Pine St and W Woodlawn Rd,41.5021,-87.9677
217484,Illinois,Peoria,1600 N Missouri Ave,40.7062,-89.5902
217495,Illinois,Chicago,1300 S Homan Ave,41.8642,-87.7105
217501,Illinois,Chicago,3800 S Sacramento Ave,41.8245,-87.6995
217502,Illinois,Chicago,3000 S Keeler Ave,41.8377,-87.7293
217608,Illinois,Chicago,1100 W 74th St,41.7596,-87.6516
217611,Illinois,Midlothian (Crestwood),135th St and Hamlin Ave,41.6476,-87.7138
217622,Illinois,Springfield,MacArthur Blvd and Edwards St,39.796,-89.6681
217650,Illinois,Chicago,2200 S Stewart Ave,41.8509,-87.6367
217666,Illinois,Chicago,8100 block of S Colfax Ave,41.748,-87.5617
217702,Illinois,Chicago,5800 W Roosevelt Rd,41.8669,-87.6902
217703,Illinois,Chicago,1300 S Millard Ave,,
217734,Illinois,Chicago,7700 S Sangamon St,41.7538,-87.6479
217742,Illinois,Chicago,900 N Leclaire Ave,41.8969,-87.7535
217745,Illinois,Chicago,5000 block of W Corcoran Pl,,
217798,Illinois,Chicago,1600 S Harding Ave,41.8584,-87.7237
217808,Illinois,Rockford,5th Ave and 9th St,42.2615,-89.0769
217830,Illinois,Chicago,4200 block of W Wilcox,41.8788,-87.7306
217861,Illinois,Collinsville,1001 Beltline Rd,38.6912,-89.9866
217915,Illinois,Peoria Heights,2009 W Forrest Hill Ave,40.7255,-89.625
217925,Illinois,Chicago,10600 S Sangamon St,41.7013,-87.6467
