,state,city_or_county,address,latitude,longitude
129977,Texas,Nacogdoches,Ritchie Street,31.6108,-94.6732
130033,Texas,San Angelo,1200 block of West Harris Avenue,31.4578,-100.454
130041,Texas,Bastrop,North Main Street and Old Highway 40,,
130044,Texas,Bushland,19000 block of Wind River Drive,35.2162,-102.075
130079,Texas,San Antonio,611 West Southcross Boulevard,29.3683,-98.5169
130081,Texas,Houston,5743 Gatewood,29.6046,-95.4693
130101,Texas,San Antonio,600 block of West Southcross Boulevard,29.3682,-98.5169
130102,Texas,Dallas,Ezekiel,32.7767,-96.797
130104,Texas,Harris (county),6833 Lakeview Haven Drive,29.8752,-95.6482
130113,Texas,Corpus Christi,Glendale,27.7672,-97.4059
130115,Texas,Port Arthur,3700 block of FM 365,29.9301,-94.0094
130129,Texas,Fort Worth,4850 North Freeway,32.8297,-97.3126
130139,Texas,Dallas,8008 Herb Kelleher Way,32.8448,-96.8499
130140,Texas,Copperas Cove,500 block of Sunset Lane,31.1133,-97.9126
130142,Texas,Copperas Cove,500 block of Courtney Lane,31.1346,-97.9135
130145,Texas,Killeen,5200 block of Capricorn Loop,31.0691,-97.744
130146,Texas,Arlington,,,
130151,Texas,Waco,1800 block of North 13th Street,31.5626,-97.1522
130194,Texas,Dallas,2700 block of Custer Drive,32.7049,-96.7795
130263,Texas,Harris (county),5623 Aldine Bender Road,29.9306,-95.3063
130279,Texas,Houston,9803 West Sam Houston Parkway South,29.9118,-95.5562
130281,Texas,Houston,8200 block of Willow,29.8753,-95.4355
130312,Texas,Kyle,Highway 21 and FM 2001,29.9345,-97.8178
130317,Texas,Houston,4200 block of Mowery,29.636,-95.3617
130361,Texas,Fabens,,31.4962,-106.154
130376,Texas,Richmond,2200 block of Willowview Dr,29.5972,-95.7862
130380,Texas,Tyler,2109 E 5th St,32.3318,-95.2743
130416,Texas,Dallas,13700 block of Montfort Drive,32.9352,-96.8134
130419,Texas,El Paso,,31.7591,-106.48
130420,Texas,Corpus Christi,,27.795,-97.3989
130435,Texas,Lancaster,2700 block of Pioneer Lane,32.5982,-96.8095
130437,Texas,Paris,500 block of Sourhwest 7th.,33.6573,-95.5631
130545,Texas,Dallas,7028 Great Trinity Forest Way,32.7131,-96.7004
130579,Texas,Killeen,Saddle Drive,31.0943,-97.7026
130608,Texas,Rusk,805 North Dickinson Drive,31.8102,-95.1572
